,Error1,Error2,NormError1,NormError2,predictedGender,Sex
…,1.895630545,47.10996766,0.142640804,1,female,female
…,1.995858405,46.09201357,0.150182665,0.978391959,female,female
…,13.2004597,1.846795804,0.993297024,0.039201806,male,male
…,2.004140387,46.71062838,0.15080586,0.991523253,female,female
…,1.879795389,46.15356871,0.141449253,0.979698586,female,female
…,12.08300419,5.788757928,0.909211677,0.122877561,male,male
…,1.961627822,44.50898668,0.147606911,0.944789158,female,female
…,13.24907404,2.373715249,0.996955115,0.050386688,male,male
…,2.183816437,46.74896543,0.164325972,0.992337031,female,female
…,13.234423,2.252743835,0.995852666,0.047818836,male,male
…,2.509555352,44.35011377,0.188836898,0.941416774,female,female
…,1.95718839,45.68024249,0.147272856,0.969651323,female,female
…,1.781223721,46.30760378,0.134032016,0.982968278,female,female
…,2.284731934,43.80615442,0.171919576,0.929870186,female,female
…,13.28953916,1.8591816,1,0.039464718,male,male
…,1.972959584,45.157281,0.148459594,0.958550456,female,female
…,12.4609635,4.712921922,0.93765204,0.100040865,male,male
…,2.186274608,46.43373603,0.164510942,0.985645678,female,female
…,2.214922243,44.06025517,0.166666595,0.935263965,female,female
…,2.0696521,45.562955,0.15573543,0.96716167,female,female
